[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_check_exit_status: worker#12[pid=40905] abnormal exit, status=0, signal=9
[2019-07-01 17:12:29 $40712.0]	WARNING	swManager_check_exit_status: worker#9[pid=40904] abnormal exit, status=0, signal=9
[2019-07-01 17:13:52 $40712.0]	INFO	Server is reloading all workers now
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=40939] exit timeout, forced kill
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=40956] exit timeout, forced kill
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=40950] exit timeout, forced kill
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=40951] exit timeout, forced kill
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=40955] exit timeout, forced kill
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=40954] exit timeout, forced kill
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=40952] exit timeout, forced kill
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=40953] exit timeout, forced kill
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_check_exit_status: worker#9[pid=40956] abnormal exit, status=0, signal=9
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_check_exit_status: worker#12[pid=40955] abnormal exit, status=0, signal=9
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_check_exit_status: worker#13[pid=40954] abnormal exit, status=0, signal=9
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_check_exit_status: worker#15[pid=40953] abnormal exit, status=0, signal=9
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_check_exit_status: worker#14[pid=40952] abnormal exit, status=0, signal=9
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_check_exit_status: worker#11[pid=40951] abnormal exit, status=0, signal=9
[2019-07-01 17:13:55 $40712.0]	WARNING	swManager_check_exit_status: worker#10[pid=40950] abnormal exit, status=0, signal=9
[2019-07-01 17:21:05 $40712.0]	INFO	Server is reloading all workers now
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=40962] exit timeout, forced kill
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=40975] exit timeout, forced kill
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=40981] exit timeout, forced kill
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=40980] exit timeout, forced kill
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=40976] exit timeout, forced kill
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=40977] exit timeout, forced kill
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=40979] exit timeout, forced kill
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=40978] exit timeout, forced kill
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_check_exit_status: worker#9[pid=40975] abnormal exit, status=0, signal=9
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_check_exit_status: worker#10[pid=40981] abnormal exit, status=0, signal=9
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_check_exit_status: worker#11[pid=40980] abnormal exit, status=0, signal=9
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_check_exit_status: worker#14[pid=40979] abnormal exit, status=0, signal=9
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_check_exit_status: worker#15[pid=40978] abnormal exit, status=0, signal=9
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_check_exit_status: worker#13[pid=40977] abnormal exit, status=0, signal=9
[2019-07-01 17:21:08 $40712.0]	WARNING	swManager_check_exit_status: worker#12[pid=40976] abnormal exit, status=0, signal=9
[2019-07-01 17:22:32 $40712.0]	INFO	Server is reloading all workers now
[2019-07-01 17:22:35 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=40989] exit timeout, forced kill
[2019-07-01 17:22:35 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=41002] exit timeout, forced kill
[2019-07-01 17:22:35 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=41003] exit timeout, forced kill
[2019-07-01 17:22:35 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=41004] exit timeout, forced kill
